NAME,TYPE,LENGTH,LABEL
DISTRICT,Character,6,District Number
DPCTG01C,Numeric,8,District 2014 Class Size: Grade 1     - # Classes
DPCTG01S,Numeric,8,District 2014 Class Size: Grade 1     - # Students
DPCTG01A,Numeric,8,District 2014 Class Size: Grade 1     - Avg Size
DPCTG02C,Numeric,8,District 2014 Class Size: Grade 2     - # Classes
DPCTG02S,Numeric,8,District 2014 Class Size: Grade 2     - # Students
DPCTG02A,Numeric,8,District 2014 Class Size: Grade 2     - Avg Size
DPCTG03C,Numeric,8,District 2014 Class Size: Grade 3     - # Classes
DPCTG03S,Numeric,8,District 2014 Class Size: Grade 3     - # Students
DPCTG03A,Numeric,8,District 2014 Class Size: Grade 3     - Avg Size
DPCTG04C,Numeric,8,District 2014 Class Size: Grade 4     - # Classes
DPCTG04S,Numeric,8,District 2014 Class Size: Grade 4     - # Students
DPCTG04A,Numeric,8,District 2014 Class Size: Grade 4     - Avg Size
DPCTG05C,Numeric,8,District 2014 Class Size: Grade 5     - # Classes
DPCTG05S,Numeric,8,District 2014 Class Size: Grade 5     - # Students
DPCTG05A,Numeric,8,District 2014 Class Size: Grade 5     - Avg Size
DPCTG06C,Numeric,8,District 2014 Class Size: Grade 6     - # Classes
DPCTG06S,Numeric,8,District 2014 Class Size: Grade 6     - # Students
DPCTG06A,Numeric,8,District 2014 Class Size: Grade 6     - Avg Size
DPCTGKGC,Numeric,8,District 2014 Class Size: Kindergarten- # Classes
DPCTGKGS,Numeric,8,District 2014 Class Size: Kindergarten- # Students
DPCTGKGA,Numeric,8,District 2014 Class Size: Kindergarten- Avg Size
DPCTGMEC,Numeric,8,District 2014 Class Size: Mixed Elem. - # Classes
DPCTGMES,Numeric,8,District 2014 Class Size: Mixed Elem. - # Students
DPCTGMEA,Numeric,8,District 2014 Class Size: Mixed Elem. - Avg Size
DPCTENGC,Numeric,8,District 2014 Class Size: Sec English - # Classes
DPCTENGS,Numeric,8,District 2014 Class Size: Sec English - # Students
DPCTENGA,Numeric,8,District 2014 Class Size: Sec English - Avg Size
DPCTFLAC,Numeric,8,District 2014 Class Size: Sec For Lng - # Classes
DPCTFLAS,Numeric,8,District 2014 Class Size: Sec For Lng - # Students
DPCTFLAA,Numeric,8,District 2014 Class Size: Sec For Lng - Avg Size
DPCTMATC,Numeric,8,District 2014 Class Size: Sec Math    - # Classes
DPCTMATS,Numeric,8,District 2014 Class Size: Sec Math    - # Students
DPCTMATA,Numeric,8,District 2014 Class Size: Sec Math    - Avg Size
DPCTSCIC,Numeric,8,District 2014 Class Size: Sec Sci     - # Classes
DPCTSCIS,Numeric,8,District 2014 Class Size: Sec Sci     - # Students
DPCTSCIA,Numeric,8,District 2014 Class Size: Sec Sci     - Avg Size
DPCTSOCC,Numeric,8,District 2014 Class Size: Sec Soc Stud- # Classes
DPCTSOCS,Numeric,8,District 2014 Class Size: Sec Soc Stud- # Students
DPCTSOCA,Numeric,8,District 2014 Class Size: Sec Soc Stud- Avg Size
DPSAMIFC,Numeric,8,District 2014 Staff: All Staff Minority Full Time Equiv Count
