NAME,TYPE,LENGTH,LABEL
DISTRICT,Character,6,District Number
DPETGEEC,Numeric,8,District 2016 Student: EE Count
DPETGEEP,Numeric,8,District 2016 Student: EE Percent
DPETGPKC,Numeric,8,District 2016 Student: PK Count
DPETGPKP,Numeric,8,District 2016 Student: PK Percent
DPETGKNC,Numeric,8,District 2016 Student: KG Count
DPETGKNP,Numeric,8,District 2016 Student: KG Percent
DPETG01C,Numeric,8,District 2016 Student: 01 Count
DPETG01P,Numeric,8,District 2016 Student: 01 Percent
DPETG02C,Numeric,8,District 2016 Student: 02 Count
DPETG02P,Numeric,8,District 2016 Student: 02 Percent
DPETG03C,Numeric,8,District 2016 Student: 03 Count
DPETG03P,Numeric,8,District 2016 Student: 03 Percent
DPETG04C,Numeric,8,District 2016 Student: 04 Count
DPETG04P,Numeric,8,District 2016 Student: 04 Percent
DPETG05C,Numeric,8,District 2016 Student: 05 Count
DPETG05P,Numeric,8,District 2016 Student: 05 Percent
DPETG06C,Numeric,8,District 2016 Student: 06 Count
DPETG06P,Numeric,8,District 2016 Student: 06 Percent
DPETG07C,Numeric,8,District 2016 Student: 07 Count
DPETG07P,Numeric,8,District 2016 Student: 07 Percent
DPETG08C,Numeric,8,District 2016 Student: 08 Count
DPETG08P,Numeric,8,District 2016 Student: 08 Percent
DPETG09C,Numeric,8,District 2016 Student: 09 Count
DPETG09P,Numeric,8,District 2016 Student: 09 Percent
DPETG10C,Numeric,8,District 2016 Student: 10 Count
DPETG10P,Numeric,8,District 2016 Student: 10 Percent
DPETG11C,Numeric,8,District 2016 Student: 11 Count
DPETG11P,Numeric,8,District 2016 Student: 11 Percent
DPETG12C,Numeric,8,District 2016 Student: 12 Count
DPETG12P,Numeric,8,District 2016 Student: 12 Percent
DPETBLAC,Numeric,8,District 2016 Student: African American Count
DPETBLAP,Numeric,8,District 2016 Student: African American Percent
DPETALLC,Numeric,8,District 2016 Student: All Students Count
DPETASIC,Numeric,8,District 2016 Student: Asian Count
DPETASIP,Numeric,8,District 2016 Student: Asian Percent
DPETRSKC,Numeric,8,District 2016 Student: At Risk Count
DPETRSKP,Numeric,8,District 2016 Student: At Risk Percent
DPETBILC,Numeric,8,District 2016 Student: Bilingual/ESL Count
DPETBILP,Numeric,8,District 2016 Student: Bilingual/ESL Percent
DPETVOCC,Numeric,8,District 2016 Student: Career & Technical Education Count
DPETVOCP,Numeric,8,District 2016 Student: Career & Technical Education Percent
DPETECOC,Numeric,8,District 2016 Student: Econ Disadv Count
DPETECOP,Numeric,8,District 2016 Student: Econ Disadv Percent
DPETGIFC,Numeric,8,District 2016 Student: Gifted & Talented Count
