NAME,TYPE,LENGTH,LABEL
DISTRICT,Character,6,District Number
DPCTGKGC,Numeric,8,District 2017 Class Size: Kindergarten- # Classes
DPCTGKGS,Numeric,8,District 2017 Class Size: Kindergarten- # Students
DPCTGKGA,Numeric,8,District 2017 Class Size: Kindergarten- Avg Size
DPCTG01C,Numeric,8,District 2017 Class Size: Grade 1     - # Classes
DPCTG01S,Numeric,8,District 2017 Class Size: Grade 1     - # Students
DPCTG01A,Numeric,8,District 2017 Class Size: Grade 1     - Avg Size
DPCTG02C,Numeric,8,District 2017 Class Size: Grade 2     - # Classes
DPCTG02S,Numeric,8,District 2017 Class Size: Grade 2     - # Students
DPCTG02A,Numeric,8,District 2017 Class Size: Grade 2     - Avg Size
DPCTG03C,Numeric,8,District 2017 Class Size: Grade 3     - # Classes
DPCTG03S,Numeric,8,District 2017 Class Size: Grade 3     - # Students
DPCTG03A,Numeric,8,District 2017 Class Size: Grade 3     - Avg Size
DPCTG04C,Numeric,8,District 2017 Class Size: Grade 4     - # Classes
DPCTG04S,Numeric,8,District 2017 Class Size: Grade 4     - # Students
DPCTG04A,Numeric,8,District 2017 Class Size: Grade 4     - Avg Size
DPCTG05C,Numeric,8,District 2017 Class Size: Grade 5     - # Classes
DPCTG05S,Numeric,8,District 2017 Class Size: Grade 5     - # Students
DPCTG05A,Numeric,8,District 2017 Class Size: Grade 5     - Avg Size
DPCTG06C,Numeric,8,District 2017 Class Size: Grade 6     - # Classes
DPCTG06S,Numeric,8,District 2017 Class Size: Grade 6     - # Students
DPCTG06A,Numeric,8,District 2017 Class Size: Grade 6     - Avg Size
DPCTGMEC,Numeric,8,District 2017 Class Size: Mixed Elem. - # Classes
DPCTGMES,Numeric,8,District 2017 Class Size: Mixed Elem. - # Students
DPCTGMEA,Numeric,8,District 2017 Class Size: Mixed Elem. - Avg Size
DPCTENGC,Numeric,8,District 2017 Class Size: Sec English - # Classes
DPCTENGS,Numeric,8,District 2017 Class Size: Sec English - # Students
DPCTENGA,Numeric,8,District 2017 Class Size: Sec English - Avg Size
DPCTFLAC,Numeric,8,District 2017 Class Size: Sec For Lng - # Classes
DPCTFLAS,Numeric,8,District 2017 Class Size: Sec For Lng - # Students
DPCTFLAA,Numeric,8,District 2017 Class Size: Sec For Lng - Avg Size
DPCTMATC,Numeric,8,District 2017 Class Size: Sec Math    - # Classes
DPCTMATS,Numeric,8,District 2017 Class Size: Sec Math    - # Students
DPCTMATA,Numeric,8,District 2017 Class Size: Sec Math    - Avg Size
DPCTSCIC,Numeric,8,District 2017 Class Size: Sec Sci     - # Classes
DPCTSCIS,Numeric,8,District 2017 Class Size: Sec Sci     - # Students
DPCTSCIA,Numeric,8,District 2017 Class Size: Sec Sci     - Avg Size
DPCTSOCC,Numeric,8,District 2017 Class Size: Sec Soc Stud- # Classes
DPCTSOCS,Numeric,8,District 2017 Class Size: Sec Soc Stud- # Students
DPCTSOCA,Numeric,8,District 2017 Class Size: Sec Soc Stud- Avg Size
DPSATOFC,Numeric,8,District 2017 Staff: All Staff Total Full Time Equiv Count
DPSPTOFC,Numeric,8,District 2017 Staff: Professional Total Full Time Equiv Count
DPSPTOFP,Numeric,8,District 2017 Staff: Professional Total Full Time Equiv Percent
DPSCTOFC,Numeric,8,District 2017 Staff: Central Admin Total Full Time Equiv Count
DPSCTOFP,Numeric,8,District 2017 Staff: Central Admin Total Full Time Equiv Percent
DPSSTOFC,Numeric,8,District 2017 Staff: School Admin Total Full Time Equiv Count
DPSSTOFP,Numeric,8,District 2017 Staff: School Admin Total Full Time Equiv Percent
DPSUTOFC,Numeric,8,District 2017 Staff: Support Total Full Time Equiv Count
DPSUTOFP,Numeric,8,District 2017 Staff: Support Total Full Time Equiv Percent
DPSTTOFC,Numeric,8,District 2017 Staff: Teacher Total Full Time Equiv Count
DPSTTOFP,Numeric,8,District 2017 Staff: Teacher Total Full Time Equiv Percent
DPSAMIFC,Numeric,8,District 2017 Staff: All Staff Minority Full Time Equiv Count
DPSAMIFP,Numeric,8,District 2017 Staff: All Staff Minority Full Time Equiv Percent
DPSXTOFC,Numeric,8,District 2017 Staff: Auxiliary Total Full Time Equiv Count
DPSXTOFP,Numeric,8,District 2017 Staff: Auxiliary Total Full Time Equiv Percent
DPSETOFC,Numeric,8,District 2017 Staff: Educ Aide Total Full Time Equiv Count
DPSETOFP,Numeric,8,District 2017 Staff: Educ Aide Total Full Time Equiv Percent
DPSTBLFC,Numeric,8,District 2017 Staff: Teacher African American Full Time Equiv Count
DPSTBLFP,Numeric,8,District 2017 Staff: Teacher African American Full Time Equiv Percent
DPSTINFC,Numeric,8,District 2017 Staff: Teacher American Indian Full Time Equiv Count
DPSTINFP,Numeric,8,District 2017 Staff: Teacher American Indian Full Time Equiv Percent
DPSTASFC,Numeric,8,District 2017 Staff: Teacher Asian Full Time Equiv Count
DPSTASFP,Numeric,8,District 2017 Staff: Teacher Asian Full Time Equiv Percent
DPSTHIFC,Numeric,8,District 2017 Staff: Teacher Hispanic Full Time Equiv Count
DPSTHIFP,Numeric,8,District 2017 Staff: Teacher Hispanic Full Time Equiv Percent
DPSTPIFC,Numeric,8,District 2017 Staff: Teacher Pacific Islander Full Time Equiv Count
DPSTPIFP,Numeric,8,District 2017 Staff: Teacher Pacific Islander Full Time Equiv Percent
DPSTTWFC,Numeric,8,District 2017 Staff: Teacher Two or more races Full Time Equiv Count
DPSTTWFP,Numeric,8,District 2017 Staff: Teacher Two or more races Full Time Equiv Percent
DPSTWHFC,Numeric,8,District 2017 Staff: Teacher White Full Time Equiv Count
DPSTWHFP,Numeric,8,District 2017 Staff: Teacher White Full Time Equiv Percent
DPSTFEFC,Numeric,8,District 2017 Staff: Teacher Female Full Time Equiv Count
DPSTFEFP,Numeric,8,District 2017 Staff: Teacher Female Full Time Equiv Percent
DPSTMAFC,Numeric,8,District 2017 Staff: Teacher Male Full Time Equiv Count
DPSTMAFP,Numeric,8,District 2017 Staff: Teacher Male Full Time Equiv Percent
DPSTBAFC,Numeric,8,District 2017 Staff: Teacher BA Degree Full Time Equiv Count
DPSTBAFP,Numeric,8,District 2017 Staff: Teacher BA Degree Full Time Equiv Percent
DPSTMSFC,Numeric,8,District 2017 Staff: Teacher MS Degree Full Time Equiv Count
DPSTMSFP,Numeric,8,District 2017 Staff: Teacher MS Degree Full Time Equiv Percent
DPSTNOFC,Numeric,8,District 2017 Staff: Teacher No Degree Full Time Equiv Count
DPSTNOFP,Numeric,8,District 2017 Staff: Teacher No Degree Full Time Equiv Percent
DPSTPHFC,Numeric,8,District 2017 Staff: Teacher PH Degree Full Time Equiv Count
DPSTPHFP,Numeric,8,District 2017 Staff: Teacher PH Degree Full Time Equiv Percent
DPST01FC,Numeric,8,District 2017 Staff: Teacher 1-5 Years Full Time Equiv Count
DPST01FP,Numeric,8,District 2017 Staff: Teacher 1-5 Years Full Time Equiv Percent
DPST11FC,Numeric,8,District 2017 Staff: Teacher 11-20 Years Full Time Equiv Count
DPST11FP,Numeric,8,District 2017 Staff: Teacher 11-20 Years Full Time Equiv Percent
