NAME,TYPE,LENGTH,LABEL
DISTRICT,Character,6,District Number
DPETDISC,Numeric,8,District 2012 DAEP: Count
DPETDISD,Numeric,8,District 2012 DAEP: Denominator
DPETDISP,Numeric,8,District 2012 DAEP: Percent
DB0GR12N,Numeric,8,District 2012 Graduates: African American Count
DB0GR12R,Numeric,8,District 2012 Graduates: African American Percent
DA0GR12N,Numeric,8,District 2012 Graduates: All Students Count
DA0GR12R,Numeric,8,District 2012 Graduates: All Students Percent
D30GR12N,Numeric,8,District 2012 Graduates: Asian Count
D30GR12R,Numeric,8,District 2012 Graduates: Asian Percent
DH0GR12N,Numeric,8,District 2012 Graduates: Hispanic Count
DH0GR12R,Numeric,8,District 2012 Graduates: Hispanic Percent
DA0GM12N,Numeric,8,District 2012 Graduates: Minimum HS Pgm All Students Count
DA0GM12R,Numeric,8,District 2012 Graduates: Minimum HS Pgm All Students Percent
DI0GR12N,Numeric,8,District 2012 Graduates: Native American Count
DI0GR12R,Numeric,8,District 2012 Graduates: Native American Percent
D40GR12N,Numeric,8,District 2012 Graduates: Pacific Islander Count
D40GR12R,Numeric,8,District 2012 Graduates: Pacific Islander Percent
DA0GH12N,Numeric,8,District 2012 Graduates: Recommended HS Pgm All Students Count
DA0GH12R,Numeric,8,District 2012 Graduates: Recommended HS Pgm All Students Percent
DS0GR12N,Numeric,8,District 2012 Graduates: Special Ed Count
DS0GR12R,Numeric,8,District 2012 Graduates: Special Ed Percent
D20GR12N,Numeric,8,District 2012 Graduates: Two or More Races Count
D20GR12R,Numeric,8,District 2012 Graduates: Two or More Races Percent
DW0GR12N,Numeric,8,District 2012 Graduates: White Count
DW0GR12R,Numeric,8,District 2012 Graduates: White Percent
DPERRA1R,Numeric,8,District 2012 Retention: Regular Ed 01 Rate
DPERRA2R,Numeric,8,District 2012 Retention: Regular Ed 02 Rate
DPERRA3R,Numeric,8,District 2012 Retention: Regular Ed 03 Rate
DPERRA4R,Numeric,8,District 2012 Retention: Regular Ed 04 Rate
DPERRA5R,Numeric,8,District 2012 Retention: Regular Ed 05 Rate
DPERRA6R,Numeric,8,District 2012 Retention: Regular Ed 06 Rate
DPERRA7R,Numeric,8,District 2012 Retention: Regular Ed 07 Rate
