NAME,TYPE,LENGTH,LABEL
DISTRICT,Character,6,District Number
DPETDISC,Numeric,8,District 2013 DAEP: Count
DPETDISD,Numeric,8,District 2013 DAEP: Denominator
DPETDISP,Numeric,8,District 2013 DAEP: Percent
DB0GR13N,Numeric,8,District 2013 Graduates: African American Count
DB0GR13R,Numeric,8,District 2013 Graduates: African American Student Group %
DA0GR13N,Numeric,8,District 2013 Graduates: All Students Count
DA0GR13R,Numeric,8,District 2013 Graduates: All Students Group %
D30GR13N,Numeric,8,District 2013 Graduates: Asian Count
D30GR13R,Numeric,8,District 2013 Graduates: Asian Student Group %
DH0GR13N,Numeric,8,District 2013 Graduates: Hispanic Count
DH0GR13R,Numeric,8,District 2013 Graduates: Hispanic Student Group %
DA0GM13R,Numeric,8,District 2013 Graduates: MINIMUM HS PGM All Students %
DA0GM13N,Numeric,8,District 2013 Graduates: MINIMUM HS PGM All Students Count
DI0GR13N,Numeric,8,District 2013 Graduates: Native American Count
DI0GR13R,Numeric,8,District 2013 Graduates: Native American Student Group %
D40GR13N,Numeric,8,District 2013 Graduates: Pacific Islander Count
D40GR13R,Numeric,8,District 2013 Graduates: Pacific Islander Student Group %
DA0GH13R,Numeric,8,District 2013 Graduates: RHSP/DAP All Students %
DA0GH13N,Numeric,8,District 2013 Graduates: RHSP/DAP All Students Count
DS0GR13N,Numeric,8,District 2013 Graduates: Special Ed Count
DS0GR13R,Numeric,8,District 2013 Graduates: Special Ed Student Group %
D20GR13N,Numeric,8,District 2013 Graduates: Two or More Races Count
D20GR13R,Numeric,8,District 2013 Graduates: Two or More Races Student Group %
DW0GR13N,Numeric,8,District 2013 Graduates: White Count
DW0GR13R,Numeric,8,District 2013 Graduates: White Student Group %
DPERRA1R,Numeric,8,District 2013 Retention: Regular Ed 01 Rate
DPERRA2R,Numeric,8,District 2013 Retention: Regular Ed 02 Rate
DPERRA3R,Numeric,8,District 2013 Retention: Regular Ed 03 Rate
DPERRA4R,Numeric,8,District 2013 Retention: Regular Ed 04 Rate
DPERRA5R,Numeric,8,District 2013 Retention: Regular Ed 05 Rate
DPERRA6R,Numeric,8,District 2013 Retention: Regular Ed 06 Rate
DPERRA7R,Numeric,8,District 2013 Retention: Regular Ed 07 Rate
DPERRA8R,Numeric,8,District 2013 Retention: Regular Ed 08 Rate
DPERRAKR,Numeric,8,District 2013 Retention: Regular Ed KG Rate
DPERSA1R,Numeric,8,District 2013 Retention: Special Ed 01 Rate
